NRUN	NEvent	NtrackX	NtrackY	Ntrack	Theta	Phi	IdEv	Nview	Sdet
812	588945	9	8	8	44.29	219.12	0	8	26.8046
812	593436	5	5	5	46.92	131.71	0	5	26.6599
812	602146	7	6	6	43.85	229.51	0	6	24.9387
812	604194	8	5	5	44.65	120.58	0	6	22.9113
812	611127	5	5	5	52.02	223.4	0	5	29.8973
812	625287	6	6	6	55.06	250.91	0	6	22.7764
812	635516	7	6	5	51	242.68	0	6	24.5181
812	640511	5	5	5	40.23	151.22	0	5	25.3031
812	646599	7	8	6	46.49	116.1	0	5	22.3272
812	648791	6	6	5	42.53	252.96	0	5	17.5728
812	665666	6	6	6	57.48	243.12	0	6	26.6698
812	665993	6	5	5	41.68	221.71	0	6	25.12
812	667516	5	5	5	44.14	202.84	0	5	27.4141
812	673379	8	7	7	55.09	246.19	0	8	24.7102
812	697443	7	6	6	59.15	196.19	0	5	33.8587
812	704755	5	5	5	43.07	211.92	0	5	26.7529
812	709605	6	6	6	61.91	211.48	0	6	35.2796
812	710270	12	10	10	61.71	152.92	0	12	35.3639
812	716219	11	12	10	43.43	239.66	0	12	22.2986
812	717865	7	6	6	40.3	138.77	0	5	24.4402
812	719307	5	4	4	41.2	163.82	0	5	25.4193
812	737060	6	5	5	45.9	211.58	0	6	28.2562
812	745987	5	5	5	48.89	253.42	0	5	19.6864
812	751331	11	11	10	46.11	113.26	0	11	21.2156
812	758127	6	6	6	44.43	233.93	0	6	24.245
812	758191	5	5	5	43.05	211.1	0	5	26.7801
812	759384	5	5	5	68.22	146.85	0	5	37.1952
812	770630	5	4	4	44.82	195.56	0	5	27.2893
812	776940	5	5	5	63.87	146.26	0	5	35.7924
812	778214	9	9	9	48.19	210.29	0	9	29.4675
812	780699	15	13	13	56.83	211.88	0	14	33.3034
812	790425	6	5	3	40.38	145.12	0	5	25.1037
812	791232	5	6	5	67.51	236.84	0	5	31.8938
812	792073	12	11	11	61.2	119.7	0	12	28.8855
812	794711	6	5	5	44.29	151.25	0	6	27.5187
812	799183	9	8	7	55.29	133.66	0	7	30.7217
812	799333	7	5	5	45.51	230.18	0	6	25.6021
812	811729	5	5	5	49.55	110.72	0	5	21.5829
812	812019	9	8	7	41.64	212.28	0	8	25.959
812	818176	5	4	4	50.34	226.29	0	5	28.6256
812	824652	5	5	5	40.01	159.26	0	5	25.0732
812	825606	20	16	16	52.9	156.64	0	19	31.739
812	830656	12	10	10	40.06	238.25	0	10	21.1052
812	832679	5	4	4	41.61	151.1	0	5	26.0681
812	839425	9	9	9	51.28	132.73	0	9	28.8462
812	841617	7	8	7	47.31	211.08	0	8	28.9957
812	842856	5	5	5	50.38	146.82	0	5	30.37
812	850255	9	9	8	44.68	203.63	0	9	27.7213
812	861194	6	5	4	45.64	240.31	0	5	23.0873
812	862146	7	5	5	45.75	144.54	0	6	27.9191
812	869252	5	5	5	62.14	246.81	0	5	26.6244
812	875003	6	6	6	46.02	164.92	0	6	27.8537
