delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17521370000000003,0.054986735995097354
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.09513839999999996,0.2369631887643651
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.14360391583699728,0.17640461992055326
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.09635429123825223,0.19260494063128708
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.08197939042351621,0.6058468932715154
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21377829999999998,-0.5645627609547829
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.16707147873944295,-0.29609803886708624
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.06354349999999998,-0.010359151408084317
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.13158650000000005,0.19918552932735942
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.0208861800708251,0.4659780349496033
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.08039949999999996,-0.21868775776599994
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.004156499999999896,0.9097292307154853
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1680098000000001,0.09958267828764336
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.22035939999999998,-0.03967478404143418
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1474143000000001,0.25518633363206045
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.18128140000000004,0.26874170602669534
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.16872231551096983,-0.1877453853617585
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.09796187477969065,-0.282909321556276
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.03738269999999999,0.05203602110046819
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1526143361148924,0.1859781160508476
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.0717000000000001,1.0899039059366342
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.14550649999999998,-0.10794948539201163
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.19790149999999995,-0.040225183011022
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1070660000000001,0.5017622368641615
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.08166340000000005,0.19161877401117688
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.011627800000000077,1.0839507380757234
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.099559726744326,0.7562734261296101
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.22964950000000006,0.5600403372361062
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.11165298005453006,0.31594601461211924
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.035306454989462166,0.25503416433561765
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.05801729999999994,0.4507817870193194
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.11456700000000009,0.107162618400806
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21038820000000014,-0.13437829291746264
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.19596579999999997,0.004527948688897112
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.13033739999999994,0.6188334436314181
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.190685,0.3151421268662504
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17764259999999998,1.0598303427458258
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10848670000000005,-0.017367619473015773
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.11086825387759958,-0.020792609027856467
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.10623511719278667,0.2183777640211331
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10098600000000002,-0.03650056203051132
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.1860141206839241,0.28922054584149054
